ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
20063146,中古マンション等,,20201,長野県,長野市,川中島町,今井,5,３ＬＤＫ,70,,,,平成10年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2008年第３四半期,未改装,,7.113943352306837
20000485,中古マンション等,,20201,長野県,長野市,稲里町中央,川中島,25,,60,,,,平成21年,ＲＣ,,住宅,,,,準工業地域,60.0,200.0,2018年第４四半期,未改装,,7.342422680822207
20046224,中古マンション等,,20201,長野県,長野市,大字鶴賀,権堂,5,３ＬＤＫ,80,,,,平成5年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2013年第１四半期,未改装,,7.2552725051033065
20003035,中古マンション等,,20201,長野県,長野市,大字長野長門町,権堂,8,１ＤＫ,35,,,,昭和64年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2017年第３四半期,未改装,,6.643452676486188
20039173,中古マンション等,,20217,長野県,佐久市,佐久平駅北,佐久平,4,３ＬＤＫ,90,,,,平成17年,ＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2014年第２四半期,未改装,,7.414973347970818
20047679,中古マンション等,,20201,長野県,長野市,三輪,本郷(長野),13,４ＬＤＫ,75,,,,平成19年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2013年第２四半期,未改装,,7.3222192947339195
20056198,中古マンション等,,20203,長野県,上田市,中央,上田,13,３ＬＤＫ,85,,,,平成19年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2009年第２四半期,未改装,,7.3222192947339195
20051502,中古マンション等,,20203,長野県,上田市,中央,上田,6,３ＬＤＫ,65,,,,平成18年,ＲＣ,住宅,,,,,商業地域,80.0,500.0,2013年第４四半期,未改装,,7.278753600952829
20002469,中古マンション等,,20201,長野県,長野市,大字鶴賀,権堂,4,１Ｋ,15,,,,昭和60年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2019年第４四半期,未改装,,6.361727836017593
20030819,中古マンション等,,20201,長野県,長野市,中御所,長野(ＪＲ・しなの),5,３ＬＤＫ,75,,,,平成20年,ＲＣ,住宅,住宅,,,,商業地域,80.0,500.0,2014年第２四半期,未改装,,7.491361693834273
20064818,中古マンション等,,20202,長野県,松本市,元町,松本,28,３ＬＤＫ,80,,,,平成3年,,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2008年第４四半期,未改装,,7.079181246047625
20033841,中古マンション等,,20201,長野県,長野市,吉田,北長野,10,４ＬＤＫ,85,,,,平成2年,ＲＣ,住宅,,,,,工業地域,60.0,200.0,2011年第４四半期,未改装,,6.892094602690481
20001423,中古マンション等,,20201,長野県,長野市,桐原,桐原(長野),10,２ＬＤＫ＋Ｓ,65,,,,平成15年,ＳＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2018年第３四半期,未改装,,7.176091259055681
20002476,中古マンション等,,20201,長野県,長野市,大字鶴賀,権堂,5,３ＬＤＫ,75,,,,平成19年,ＳＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2019年第１四半期,未改装,,7.447158031342219
20043772,中古マンション等,,20202,長野県,松本市,宮田,南松本,11,３ＬＤＫ,80,,,,平成19年,ＳＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2012年第４四半期,未改装,,7.380211241711606
20003732,中古マンション等,,20201,長野県,長野市,大字南長野,長野(ＪＲ・しなの),11,２ＤＫ,45,,,,昭和62年,ＳＲＣ,,その他,,,,商業地域,80.0,500.0,2019年第１四半期,未改装,,6.949390006644912
20005100,中古マンション等,,20202,長野県,松本市,大手,松本,8,３ＬＤＫ,80,,,,平成14年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2018年第１四半期,改装済,,7.3979400086720375
20041544,中古マンション等,,20201,長野県,長野市,吉田,信濃吉田,1,３ＬＤＫ,75,,,,平成9年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第４四半期,未改装,,7.361727836017593
20063736,中古マンション等,,20201,長野県,長野市,大字長野,善光寺下,15,２Ｋ,20,,,,昭和60年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2007年第４四半期,未改装,,6.3979400086720375
20046080,中古マンション等,,20201,長野県,長野市,大字高田,長野(ＪＲ・しなの),30分?60分,３ＬＤＫ,70,,,,平成19年,ＳＲＣ,住宅,,,,,準工業地域,60.0,200.0,2013年第４四半期,未改装,,7.230448921378274
20009154,中古マンション等,,20203,長野県,上田市,中央,上田,6,３ＬＤＫ,65,,,,平成18年,ＲＣ,住宅,住宅,,,,商業地域,80.0,500.0,2018年第１四半期,未改装,,7.3979400086720375
20053040,中古マンション等,,20217,長野県,佐久市,原,中込,15,２ＤＫ,45,,,,平成4年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2012年第２四半期,未改装,,6.770852011642144
20052809,中古マンション等,,20201,長野県,長野市,大字中御所,長野(ＪＲ・しなの),9,２ＬＤＫ,80,,,,平成16年,ＳＲＣ,住宅,,,,,商業地域,80.0,500.0,2009年第４四半期,改装済,,7.431363764158987
20003903,中古マンション等,,20201,長野県,長野市,三輪,善光寺下,1,４ＬＤＫ,80,,,,平成12年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2019年第１四半期,未改装,,7.342422680822207
20056192,中古マンション等,,20203,長野県,上田市,中央,上田,12,３ＬＤＫ,75,,,,平成10年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2009年第４四半期,未改装,,7.278753600952829
20003719,中古マンション等,,20201,長野県,長野市,大字南長野,長野(ＪＲ・しなの),6,１Ｋ,20,,,,昭和60年,ＲＣ,,住宅,,,,商業地域,80.0,500.0,2019年第４四半期,改装済,,6.3979400086720375
20006964,中古マンション等,,20202,長野県,松本市,野溝木工,南松本,20,３ＬＤＫ,65,,,,平成5年,ＳＲＣ,住宅,住宅,,,,工業地域,60.0,200.0,2019年第１四半期,未改装,,6.949390006644912
20031241,中古マンション等,,20201,長野県,長野市,三輪,善光寺下,1,３ＬＤＫ,80,,,,平成3年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第４四半期,未改装,,7.113943352306837
20034278,中古マンション等,,20202,長野県,松本市,南松本,南松本,3,３ＬＤＫ,80,,,,平成11年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2010年第３四半期,改装済,,7.2552725051033065
20030650,中古マンション等,,20201,長野県,長野市,大字鶴賀,権堂,,３ＬＤＫ,70,,,,平成27年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第３四半期,未改装,,7.556302500767288
20032244,中古マンション等,,20201,長野県,長野市,大字三輪,権堂,3,４ＬＤＫ,90,,,,平成21年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第２四半期,未改装,,7.623249290397901
20030389,中古マンション等,,20201,長野県,長野市,桐原,北長野,10,２ＬＤＫ＋Ｓ,65,,,,平成15年,ＳＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2014年第４四半期,未改装,,7.230448921378274
20056202,中古マンション等,,20203,長野県,上田市,中央,上田,13,３ＬＤＫ,75,,,,平成19年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2009年第１四半期,未改装,,7.342422680822207
20043358,中古マンション等,,20202,長野県,松本市,並柳,南松本,25,２ＬＤＫ,65,,,,平成7年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2012年第４四半期,改装済,,7.176091259055681
20056333,中古マンション等,,20203,長野県,上田市,常田,上田,9,２ＬＤＫ,55,,,,平成3年,鉄骨造,住宅,,,,,工業地域,60.0,200.0,2009年第４四半期,未改装,,6.690196080028514
20063720,中古マンション等,,20201,長野県,長野市,中御所,長野(ＪＲ・しなの),,３ＬＤＫ,80,,,,昭和53年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2008年第２四半期,未改装,,6.724275869600789
20005130,中古マンション等,,20202,長野県,松本市,大手,松本,14,２ＬＤＫ,65,,,,平成19年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第４四半期,未改装,,7.301029995663981
20039165,中古マンション等,,20217,長野県,佐久市,佐久平駅北,佐久平,4,３ＬＤＫ,90,,,,平成18年,ＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2014年第４四半期,未改装,,7.447158031342219
20003206,中古マンション等,,20201,長野県,長野市,大字東和田,北長野,26,３ＬＤＫ,70,,,,平成10年,ＳＲＣ,,,,,,準工業地域,60.0,200.0,2017年第３四半期,未改装,,7.204119982655925
20002015,中古マンション等,,20201,長野県,長野市,篠ノ井布施高田,篠ノ井,10,３ＬＤＫ,60,,,,,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2017年第３四半期,改装済,,7.079181246047625
20063722,中古マンション等,,20201,長野県,長野市,中御所,長野(ＪＲ・しなの),29,４ＬＤＫ,80,,,,,ＲＣ,住宅,,,,,近隣商業地域,80.0,200.0,2007年第４四半期,改装済,,7.278753600952829
20052821,中古マンション等,,20201,長野県,長野市,中御所,長野(ＪＲ・しなの),4,３ＬＤＫ,75,,,,平成20年,ＲＣ,住宅,,,,,商業地域,80.0,500.0,2009年第１四半期,未改装,,7.556302500767288
20002337,中古マンション等,,20201,長野県,長野市,大字高田,長野(ＪＲ・しなの),19,４ＬＤＫ,90,,,,平成20年,ＳＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2017年第４四半期,未改装,,7.462397997898956
20033078,中古マンション等,,20202,長野県,松本市,大手,松本,13,３ＬＤＫ,70,,,,平成21年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第２四半期,,,7.477121254719663
20009173,中古マンション等,,20203,長野県,上田市,中央,上田,11,３ＬＤＫ,75,,,,平成10年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2017年第２四半期,未改装,,7.204119982655925
20032932,中古マンション等,,20201,長野県,長野市,大字鶴賀,権堂,4,３ＬＤＫ,80,,,,平成19年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2011年第４四半期,未改装,,7.342422680822207
20051324,中古マンション等,,20201,長野県,長野市,稲里町中央,川中島,30分?60分,３ＬＤＫ,75,,,,平成15年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2009年第１四半期,,,7.230448921378274
20032380,中古マンション等,,20202,長野県,松本市,清水,松本,30分?60分,,45,,,,,ＳＲＣ,事務所,店舗,,,,第２種住居地域,60.0,200.0,2014年第４四半期,改装済,,6.477121254719663
20053360,中古マンション等,,20201,長野県,長野市,三輪,善光寺下,2,３ＬＤＫ,75,,,,平成3年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2009年第４四半期,未改装,,7.079181246047625
20040795,中古マンション等,,20201,長野県,長野市,西和田,桐原(長野),25,３ＬＤＫ,75,,,,平成14年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2012年第３四半期,未改装,,7.278753600952829
20001040,中古マンション等,,20201,長野県,長野市,川中島町,今井,5,２ＬＤＫ,65,,,,平成10年,ＲＣ,,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2019年第１四半期,未改装,,7.301029995663981
20060704,中古マンション等,,20217,長野県,佐久市,原,中込,15,２ＤＫ,45,,,,平成4年,ＲＣ,住宅,,,,,市街化区域及び市街化調整区域外の都市計画区域,60.0,200.0,2009年第４四半期,改装済,,6.7923916894982534
20047529,中古マンション等,,20201,長野県,長野市,大字三輪,権堂,3,２ＤＫ,40,,,,昭和64年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2013年第１四半期,改装済,,6.799340549453582
20045362,中古マンション等,,20203,長野県,上田市,中央,上田,11,３ＬＤＫ,75,,,,平成10年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第２四半期,改装済,,7.204119982655925
20007265,中古マンション等,,20202,長野県,松本市,深志,松本,8,３ＬＤＫ,85,,,,平成16年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第４四半期,未改装,,7.3979400086720375
20033064,中古マンション等,,20202,長野県,松本市,大手,松本,13,２ＬＤＫ,75,,,,平成21年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第４四半期,,,5.973127853599698
20018191,中古マンション等,,20217,長野県,佐久市,岩村田,佐久平,10,２ＬＤＫ,75,,,,平成19年,ＲＣ,住宅,住宅,,,,市街化区域及び市街化調整区域外の都市計画区域,60.0,200.0,2015年第２四半期,未改装,,7.3222192947339195
20019268,中古マンション等,,20217,長野県,佐久市,原,中込,15,３ＬＤＫ,90,,,,平成4年,ＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2016年第３四半期,未改装,,7.0
20063172,中古マンション等,,20201,長野県,長野市,川中島町,今井,5,３ＤＫ,75,,,,平成10年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2007年第４四半期,改装済,,7.301029995663981
20002931,中古マンション等,,20201,長野県,長野市,中御所,長野(ＪＲ・しなの),5,２ＤＫ,60,,,,平成20年,ＲＣ,住宅,住宅,,,,商業地域,80.0,500.0,2019年第１四半期,未改装,,7.477121254719663
